time,servo_0,servo_1,servo_2,servo_3,servo_4,servo_5,servo_6
0.05066347122192383,0.0,-1.57,1.57,0.0,0.0,0.0,0.0,0.03
0.05066347122192383,0.001625874776430465,-1.5700454443369407,1.570039789639718,-1.0229519437923618e-05,1.0765346269836646e-05,1.4302018545229605e-06,4.4702254551201406e-05,0.008244753414154815
0.05066347122192383,0.0030495873532147087,-1.5700657542199241,1.5700674573087892,8.655425343720329e-07,1.7797077213473915e-05,-1.768940566449764e-07,1.8892979680458927e-05,-0.01178937049422826
0.05066347122192383,0.0026654501507549348,-1.5684916832177673,1.5685780858796432,9.325573136266055e-06,0.00017950429053818567,1.3291671440189161e-08,-5.166357725241245e-05,-0.008748273878963347
0.05066347122192383,0.0019824563698696753,-1.567641869106693,1.5676965939737826,2.301404646079742e-06,-2.923788939580187e-05,-5.424947881727231e-07,-4.1623960975980626e-05,-0.0015681899635861182
0.05066347122192383,0.0016405470367217546,-1.567574126234077,1.56751769184954,-1.8204471094965774e-06,-7.05641139161421e-05,2.0210978952222364e-07,7.784308034888414e-07,0.0015433336613313703
0.05066347122192383,0.0015732130101861978,-1.5677050257631955,1.5676314399191835,-1.6663062236291914e-06,-2.3991043443221915e-05,3.086320570155857e-07,1.9367179276252138e-05,0.00127989858809719
0.05066347122192383,0.001566942627564559,-1.5677355450514119,1.5677148163485142,-3.57514520103617e-07,1.8440283810372976e-05,4.190516102023827e-08,1.2047690210505276e-05,0.0002795081069623857
0.05066347122192383,0.0015529788287154877,-1.5676664357036583,1.567687809123327,4.661802348884273e-08,3.100404898886437e-05,-1.8867629853156107e-08,1.0681489559980087e-06,-0.0006145726131748902
0.05066347122192383,0.0014572195356445591,-1.567572614073173,1.5675983042806196,5.096988776139081e-07,2.5633445758093614e-05,-7.537289441288132e-08,-4.968779774148919e-06,-0.0004146273169603784
0.05066347122192383,0.001353829506234838,-1.567492969027836,1.5675038415546365,6.803159066135248e-08,1.7747130723664523e-05,-1.1681069906404394e-08,-3.225405868767286e-06,-5.889725121931269e-05
0.05066347122192383,0.0012720350232103784,-1.567451483861604,1.5674495635098602,-1.0917317227543906e-07,1.182555401496674e-05,1.4501033299653971e-08,1.8445056094033183e-07,8.172429998694675e-05
0.05066347122192383,0.0012066536880556854,-1.5673711374060784,1.5673691839987298,-8.475597279109302e-08,1.8508473238517065e-05,9.23984031614265e-09,1.4269686176372604e-06,6.12194532232743e-05
0.05066347122192383,0.0011472201216595884,-1.5673152266864938,1.5673162416693376,-1.992136647219272e-08,1.3975456175240735e-05,-7.66131744257492e-10,8.878146737776804e-07,1.1286909928188719e-05
0.05066347122192383,0.0010903363229838076,-1.5672455921429151,1.5672485975181287,-3.695070474365622e-09,1.779783437519326e-05,-2.988761154163519e-09,1.5859428790959203e-07,-3.31363953066966e-05
0.05066347122192383,0.0010321928910567168,-1.5671726102874035,1.5671767440669517,2.0367975300541874e-08,1.729621105283006e-05,-6.3700003595770535e-09,-1.9730935653727618e-07,-2.124106141703546e-05
0.05066347122192383,0.0009764712460864315,-1.5670894444682635,1.5670934647017543,-3.4754644524424523e-09,1.7831408594776824e-05,-2.6477904938635306e-09,-9.150397973737533e-08,-2.494745139043692e-06
0.05066347122192383,0.0009245174479148546,-1.5669978863177803,1.5670015687244456,-1.2492989370876516e-08,1.7584967805995795e-05,-1.2371725374366594e-09,1.0074810292435126e-07,4.539023777742002e-06
0.05066347122192383,0.0008760298765346645,-1.566940548690069,1.5669418980602345,-9.24313446592149e-09,1.31738075155618e-05,-1.4547224967300238e-09,1.7030735448945008e-07,3.253512424019883e-06
0.05066347122192383,0.0008300095270199177,-1.5668523004086607,1.5668545255733597,-7.60994547670322e-09,1.9063027969736977e-05,-1.864717478481743e-09,1.2615658053208815e-07,5.985912774881575e-07
0.05066347122192383,0.0007864637265565516,-1.5667641676659219,1.5667679020027967,-6.6143134236602056e-09,1.6896396232715674e-05,-1.9891673586183092e-09,8.38976150052008e-08,-1.9049168942123675e-06
0.05066347122192383,0.0007449414094626359,-1.5666836298361997,1.5666865671784056,-4.642727466084176e-09,1.5949031626284703e-05,-2.0424518259473855e-09,6.087405409530458e-08,-1.1554197161443288e-06
0.05066347122192383,0.0007055506258805444,-1.5666054160786786,1.5666076783512741,-6.047728213831629e-09,1.6211257873838614e-05,-1.7608407378371083e-09,6.272398663904225e-08,-5.850731459741044e-08
0.05066347122192383,0.0006683647746553075,-1.5665547936166306,1.566555829730178,-5.675003017512606e-09,1.3653609767473831e-05,-1.622218693552861e-09,7.300886984294828e-08,3.3924717636456933e-07
0.05066347122192383,0.0006329640557344913,-1.5664597805724216,1.566463148085334,-7.895724608785174e-09,2.0590101752260932e-05,-1.5377089808221194e-09,6.399896779197507e-08,2.4277251925122836e-07
0.05066347122192383,0.0005995212649194536,-1.5663632756057055,1.566368166015269,-7.162744886335981e-09,1.7392497645686102e-05,-1.6199220947612865e-09,6.208498924271007e-08,2.450956628806832e-08
0.05066347122192383,0.0005678288037425691,-1.566276548293347,1.566279684736754,-6.308020021719029e-09,1.5813874299833163e-05,-1.4566511239685245e-09,5.847317140711506e-08,-2.8909328274892906e-07
0.05066347122192383,0.0005377593561231258,-1.566195890195171,1.5661976569537208,-5.849756482746293e-09,1.573360884698655e-05,-1.4428926324721392e-09,5.357716511636354e-08,-1.2608460337120406e-07
0.05066347122192383,0.0005092577365897258,-1.5661140273427467,1.5661159917137506,-6.336511367091975e-09,1.6434889458402085e-05,-1.3658562741772975e-09,5.009949359453545e-08,4.696216827258086e-08
0.05066347122192383,0.00048225600775016864,-1.5660289598981356,1.5660317243368747,-6.661872689551274e-09,1.6854024957795713e-05,-1.3131704786385608e-09,4.74903327680981e-08,8.843220480115462e-08
0.05066347122192383,0.0004566729083298833,-1.5659411604311635,1.5659443497651782,-6.74402532685399e-09,1.6938883070068525e-05,-1.2654619239248398e-09,4.473929864079407e-08,1.765733866675242e-08
0.05066347122192383,0.0004324393924760393,-1.565853408976744,1.5658564535484643,-6.634689943812053e-09,1.6652072569779964e-05,-1.2173986960574973e-09,4.215960741541344e-08,-1.3829919261334126e-07
0.05066347122192383,0.0004094579079621659,-1.5657660278229257,1.5657687657873869,-6.404388714034342e-09,1.652963284262767e-05,-1.191882230149041e-09,3.887280073470904e-08,-5.229615530911225e-08
0.05066347122192383,0.00038767832982142914,-1.5656774700481557,1.5656801421451398,-6.554213862912977e-09,1.6645459274770257e-05,-1.1334715032662654e-09,3.636050356688477e-08,3.592803055646713e-08
0.05066347122192383,0.00036704256096668005,-1.5655858177023407,1.5655886737633942,-6.7052449364161324e-09,1.6869200135533933e-05,-1.0887131855694602e-09,3.419976756363442e-08,2.8311577700361496e-08
